,Outlier Date,Reference Point,Outlier Daily Avg Return,Recovery Date,Recovery Close Price,Days to Recovery,Year,Reversal Date,Reversal Daily Avg Return
126,2022-11-10,0.98358,-0.009932710681537733,2022-11-24,0.94337,10,2022,2022-11-15,0.00026548998416313114
127,2022-11-11,0.96491,-0.021155139883439218,2022-11-25,0.9458,10,2022,2022-11-15,0.00026548998416313114
128,2022-11-14,0.9424,-0.011181490450238456,2022-11-16,0.94438,3,2022,2022-11-16,0.0005674929485033962
129,2022-12-01,0.94387,-0.009525238253074239,2022-12-05,0.9422,3,2022,2022-12-05,0.0030884860544786123
130,2023-01-03,0.9243,0.01272314183706588,2023-01-06,0.9276441,4,2023,2023-01-05,-4.5573136263266e-05
131,2023-01-09,0.9276441,-0.007980778370884933,2023-01-11,0.9307,3,2023,2023-01-11,0.005232239056261744
132,2023-02-01,0.9162,-0.009790013089518499,2023-02-13,0.91874,9,2023,2023-02-03,0.010481991106291392
133,2023-02-03,0.91324,0.010481991106291392,2023-02-17,0.9248,10,2023,2023-02-07,-0.002665873344263578
134,2023-02-06,0.9262948,0.008067960035449987,2023-02-09,0.922,4,2023,2023-02-08,-0.003821731662374306
135,2023-03-10,0.93288,-0.011192482218881838,2023-03-15,0.93126,4,2023,2023-03-15,0.010242893877132044
136,2023-03-13,0.9199,-0.01096282072210644,2023-03-17,0.9228,5,2023,2023-03-15,0.010242893877132044
137,2023-03-15,0.9145,0.010242893877132044,2023-03-22,0.91668,6,2023,2023-03-17,-0.004550331209770851
138,2023-07-12,0.87875,-0.010545340962142276,2023-07-26,0.86156,10,2023,2023-07-17,0.0007114596696149635
139,2023-07-13,0.86659,-0.011240455054807892,2023-07-20,0.86623,6,2023,2023-07-17,0.0007114596696149635
