,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
399,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,fast recovery,44,outlier day,Tuesday,2014-12-23
400,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,fast recovery,44,post day,Wednesday,2014-12-24
401,,,,,,,,,,,,,44,post day,Thursday,2014-12-25
402,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,fast recovery,44,post day,Friday,2014-12-26
403,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,fast recovery,44,post day,Monday,2014-12-29
404,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,fast recovery,44,post day,Tuesday,2014-12-30
405,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,fast recovery,44,post day,Wednesday,2014-12-31
406,,,,,,,,,,,,,44,post day,Thursday,2015-01-01
407,0.9988,0.99714,1.00076,1.00163,0.99602,151520.0,0.99368,0.00712503019080598,0.00712503019080598,0.7125030190805903,Up,fast recovery,44,post day,Friday,2015-01-02
408,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,slow recovery,45,prior day,Monday,2014-12-22
409,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,slow recovery,45,prior day,Tuesday,2014-12-23
410,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,slow recovery,45,outlier day,Wednesday,2014-12-24
411,,,,,,,,,,,,,45,post day,Thursday,2014-12-25
