,vw,o,c,h,l,n,prev_close,returns,outlier_id,day type,Date,Time
6977,,,,,,,,,42,prior day,2014-12-21,00:00:00
6978,,,,,,,,,42,prior day,2014-12-21,01:00:00
6979,,,,,,,,,42,prior day,2014-12-21,02:00:00
6980,,,,,,,,,42,prior day,2014-12-21,03:00:00
6981,,,,,,,,,42,prior day,2014-12-21,04:00:00
6982,,,,,,,,,42,prior day,2014-12-21,05:00:00
6983,,,,,,,,,42,prior day,2014-12-21,06:00:00
6984,,,,,,,,,42,prior day,2014-12-21,07:00:00
6985,,,,,,,,,42,prior day,2014-12-21,08:00:00
6986,,,,,,,,,42,prior day,2014-12-21,09:00:00
6987,,,,,,,,,42,prior day,2014-12-21,10:00:00
6988,,,,,,,,,42,prior day,2014-12-21,11:00:00
6989,,,,,,,,,42,prior day,2014-12-21,12:00:00
6990,,,,,,,,,42,prior day,2014-12-21,13:00:00
6991,,,,,,,,,42,prior day,2014-12-21,14:00:00
6992,,,,,,,,,42,prior day,2014-12-21,15:00:00
6993,,,,,,,,,42,prior day,2014-12-21,16:00:00
6994,,,,,,,,,42,prior day,2014-12-21,17:00:00
6995,,,,,,,,,42,prior day,2014-12-21,18:00:00
6996,,,,,,,,,42,prior day,2014-12-21,19:00:00
6997,,,,,,,,,42,prior day,2014-12-21,20:00:00
6998,,,,,,,,,42,prior day,2014-12-21,21:00:00
6999,0.9841,0.98398,0.98421,0.98444,0.98375,842.0,0.98328,0.0009458140102513896,42,prior day,2014-12-21,22:00:00
7000,0.9843,0.98422,0.98436,0.98448,0.984,2146.0,0.98421,0.00015240649861308407,42,prior day,2014-12-21,23:00:00
7001,0.984,0.98436,0.98403,0.98439,0.98364,3095.0,0.98436,-0.00033524320370601456,42,outlier day,2014-12-22,00:00:00
7002,0.9835,0.98402,0.98296,0.98403,0.98277,3166.0,0.98403,-0.0010873652226050176,42,outlier day,2014-12-22,01:00:00
7003,0.9828,0.98295,0.98248,0.98315,0.98237,1864.0,0.98296,-0.000488320989663796,42,outlier day,2014-12-22,02:00:00
7004,0.9822,0.98249,0.98229,0.98262,0.98199,2347.0,0.98248,-0.00019338816057326712,42,outlier day,2014-12-22,03:00:00
7005,0.9826,0.9823,0.98273,0.98283,0.98224,2596.0,0.98229,0.0004479328915086135,42,outlier day,2014-12-22,04:00:00
7006,0.983,0.98273,0.9827,0.98339,0.98268,2273.0,0.98273,-3.05272048273427e-05,42,outlier day,2014-12-22,05:00:00
7007,0.9822,0.98268,0.98205,0.98271,0.98189,3114.0,0.9827,-0.0006614429632645155,42,outlier day,2014-12-22,06:00:00
7008,0.9818,0.98204,0.98112,0.98231,0.98111,6157.0,0.98205,-0.0009469986253245623,42,outlier day,2014-12-22,07:00:00
7009,0.9817,0.98113,0.98103,0.98253,0.98095,11491.0,0.98112,-9.173189823878272e-05,42,outlier day,2014-12-22,08:00:00
