,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,source,outlier
90,135644,0.9478,0.94816,0.9432,0.95393,0.943,135644,2023-10-06,0.948,-0.005063291139240417,0.005063291139240417,historical,0
91,6941,0.947,0.9462,0.94636,0.94776,0.946,6941,2023-10-08,0.9432,0.0033502968617471806,0.0033502968617471806,historical,0
92,120868,0.948,0.94636,0.94527,0.95056,0.945,120868,2023-10-09,0.94636,-0.0011517815630414689,0.0011517815630414689,historical,0
93,143589,0.9444,0.94526,0.943,0.94742,0.9414,143589,2023-10-10,0.94527,-0.0024014302791796048,0.0024014302791796048,historical,0
94,130079,0.9426,0.94297,0.94126,0.94502,0.9401,130079,2023-10-11,0.943,-0.001845174973488827,0.001845174973488827,historical,0
95,128469,0.9448,0.94127,0.94914,0.95001,0.939673,128469,2023-10-12,0.94126,0.008371757006565665,0.008371757006565665,historical,1
96,124263,0.9499,0.94911,0.9509,0.95278,0.94688,124263,2023-10-13,0.94914,0.0018543102176707164,0.0018543102176707164,historical,0
97,4681,0.9505,0.95103,0.95034,0.95138,0.94999,4681,2023-10-15,0.9509,-0.0005889157640130455,0.0005889157640130455,historical,0
98,105896,0.9489,0.9503,0.94745,0.95095,0.9464,105896,2023-10-16,0.95034,-0.0030410168992149635,0.0030410168992149635,historical,0
99,123469,0.9468,0.94744,0.9458,0.9494,0.943574,123469,2023-10-17,0.94745,-0.0017415167027284187,0.0017415167027284187,historical,0
100,105261,0.9469,0.9458,0.94892,0.95026,0.943663,105261,2023-10-18,0.9458,0.0032987946711778514,0.0032987946711778514,historical,0
101,102693,0.9465,0.9489,0.94457,0.9498,0.94193,102693,2023-10-19,0.94892,-0.004584158833199812,0.004584158833199812,historical,0
102,87824,0.9448,0.9446,0.9431,0.94649,0.942863,87824,2023-10-20,0.94457,-0.0015562636967085249,0.0015562636967085249,historical,0
103,2011,0.9441,0.94397,0.9443,0.94438,0.9438,2011,2023-10-22,0.9431,0.001272399533453482,0.001272399533453482,historical,0
104,88615,0.9418,0.94432,0.937,0.94591,0.9363,88615,2023-10-23,0.9443,-0.007730594090860927,0.007730594090860927,historical,0
105,91513,0.9407,0.93715,0.94381,0.94486,0.93489,91513,2023-10-24,0.937,0.0072678762006403224,0.0072678762006403224,historical,0
106,87490,0.945,0.94381,0.94638,0.94692,0.9425,87490,2023-10-25,0.94381,0.0027230056897044543,0.0027230056897044543,historical,0
107,90872,0.9482,0.94639,0.94657,0.9503,0.9459,90872,2023-10-26,0.94638,0.00020076502039352426,0.00020076502039352426,historical,0
108,82458,0.9463,0.94659,0.9452,0.94919,0.943396,82458,2023-10-27,0.94657,-0.0014473308894217885,0.0014473308894217885,historical,0
109,2549,0.9466,0.9452,0.94675,0.94702,0.94496,2549,2023-10-29,0.9452,0.001639864578925032,0.001639864578925032,historical,0
110,81533,0.9443,0.94676,0.94212,0.9481,0.9409,81533,2023-10-30,0.94675,-0.004890414576181699,0.004890414576181699,historical,0
111,96521,0.9427,0.9421,0.94531,0.94714,0.93668,96521,2023-10-31,0.94212,0.0033859805544941475,0.0033859805544941475,historical,0
112,98232,0.9475,0.94532,0.94455,0.95079,0.9444,98232,2023-11-01,0.94531,-0.0008039690683479312,0.0008039690683479312,historical,0
113,92682,0.9414,0.9445,0.94196,0.94481,0.9372,92682,2023-11-02,0.94455,-0.0027420464771584154,0.0027420464771584154,historical,0
114,87882,0.9359,0.94197,0.9312,0.94204,0.9303,87882,2023-11-03,0.94196,-0.011422990360524854,0.011422990360524854,historical,1
115,1593,0.9321,0.9317,0.93178,0.93245,0.93161,1593,2023-11-05,0.9312,0.0006228522336770027,0.0006228522336770027,historical,0
116,81276,0.9312,0.93179,0.9327,0.93313,0.929454,81276,2023-11-06,0.93178,0.0009873575307475164,0.0009873575307475164,historical,0
