,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return
655,4298,0.9131,0.91335,0.91304,0.91349,0.912492,4298,2024-01-04 12:00:00,0.91335,-0.0003394098647835249,0.0003394098647835249
656,6695,0.9134,0.91304,0.91342,0.91466,0.9126,6695,2024-01-04 13:00:00,0.91304,0.00041619206168409594,0.00041619206168409594
657,6787,0.9137,0.91343,0.91361,0.91419,0.912992,6787,2024-01-04 14:00:00,0.91342,0.00020800945895647509,0.00020800945895647509
658,7258,0.9125,0.9136,0.91281,0.91362,0.9117,7258,2024-01-04 15:00:00,0.91361,-0.0008756471579777179,0.0008756471579777179
659,5133,0.9125,0.91279,0.9126,0.91284,0.9118,5133,2024-01-04 16:00:00,0.91281,-0.0002300588293292618,0.0002300588293292618
660,3693,0.9131,0.9127,0.91317,0.9139,0.912159,3693,2024-01-04 17:00:00,0.9126,0.0006245890861276249,0.0006245890861276249
661,3431,0.9132,0.91316,0.9133,0.91356,0.912659,3431,2024-01-04 18:00:00,0.91317,0.00014236122518256566,0.00014236122518256566
662,3100,0.9135,0.91347,0.91346,0.91378,0.912992,3100,2024-01-04 19:00:00,0.9133,0.00017518887550645897,0.00017518887550645897
663,3222,0.9136,0.91344,0.91328,0.91379,0.913075,3222,2024-01-04 20:00:00,0.91346,-0.0001970529634576982,0.0001970529634576982
664,2139,0.9134,0.91328,0.9136,0.91373,0.912992,2139,2024-01-04 21:00:00,0.91328,0.0003503854239663487,0.0003503854239663487
665,1467,0.9132,0.9136,0.91343,0.914,0.91266,1467,2024-01-04 22:00:00,0.9136,-0.00018607705779334882,0.00018607705779334882
666,1248,0.9135,0.91341,0.9134,0.91376,0.9131,1248,2024-01-04 23:00:00,0.91343,-3.28432392191788e-05,3.28432392191788e-05
667,1981,0.9133,0.9135,0.91313,0.91368,0.9129,1981,2024-01-05 00:00:00,0.9134,-0.0002955988613969701,0.0002955988613969701
668,2763,0.913,0.91314,0.91309,0.91321,0.9125,2763,2024-01-05 01:00:00,0.91313,-4.380537272900902e-05,4.380537272900902e-05
669,2024,0.9131,0.91308,0.91347,0.91348,0.9127,2024,2024-01-05 02:00:00,0.91309,0.00041616927137527184,0.00041616927137527184
670,1919,0.9138,0.91347,0.91409,0.91412,0.9132,1919,2024-01-05 03:00:00,0.91347,0.0006787305549169145,0.0006787305549169145
671,1684,0.9141,0.9141,0.91428,0.91433,0.9137,1684,2024-01-05 04:00:00,0.91409,0.00020785699438788686,0.00020785699438788686
672,845,0.9233,0.92241,0.9235,0.92357,0.92241,845,2024-04-07 22:00:00,,,
673,986,0.9232,0.9235,0.92333,0.92351,0.9229,986,2024-04-07 23:00:00,0.9235,-0.0001840822956145138,0.0001840822956145138
674,2256,0.9237,0.92334,0.92357,0.92392,0.9232,2256,2024-04-08 00:00:00,0.92333,0.0002599287362048433,0.0002599287362048433
675,2614,0.9232,0.92359,0.9227,0.92359,0.9225,2614,2024-04-08 01:00:00,0.92357,-0.000941996816700453,0.000941996816700453
676,2387,0.9225,0.92286,0.92242,0.92291,0.922,2387,2024-04-08 02:00:00,0.9227,-0.00030345724504166787,0.00030345724504166787
677,1848,0.9227,0.92243,0.9229,0.92315,0.9221,1848,2024-04-08 03:00:00,0.92242,0.0005203703302183776,0.0005203703302183776
